"filename", "language", "JSON", "JavaScript", "Vue", "HTML", "comment", "blank", "total"
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\package-lock.json", "JSON", -780, 0, 0, 0, 0, 0, -780
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\package.json", "JSON", 4, 0, 0, 0, 0, 0, 4
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\App.vue", "Vue", 0, 0, 53, 0, 1, 4, 58
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\api\data.js", "JavaScript", 0, 9, 0, 0, 0, 1, 10
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\api\questionnaire.js", "JavaScript", 0, 6, 0, 0, 0, 3, 9
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\api\userinfo.js", "JavaScript", 0, 6, 0, 0, 1, 0, 7
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\AsideMenu.vue", "Vue", 0, 0, -26, 0, 6, 1, -19
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\LeftTools.vue", "Vue", 0, 0, -858, 0, -4, -118, -980
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\Login.vue", "Vue", 0, 0, -232, 0, -60, -35, -327
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\LoginAndRegister.vue", "Vue", 0, 0, 15, 0, 8, 2, 25
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\StepSlide.vue", "Vue", 0, 0, -20, 0, 0, -3, -23
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\TestCssPro.vue", "Vue", 0, 0, -343, 0, -4, -62, -409
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\UserInfo.vue", "Vue", 0, 0, 13, 0, 3, 5, 21
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\main.js", "JavaScript", 0, 0, 0, 0, 0, 2, 2
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\router\index.js", "JavaScript", 0, 4, 0, 0, -15, 1, -10
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\utils\request.js", "JavaScript", 0, -3, 0, 0, -19, -4, -26
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\AboutView.vue", "Vue", 0, 0, 43, 0, 14, 6, 63
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\AnalyzeView.vue", "Vue", 0, 0, 44, 0, 2, 5, 51
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\AnswerView.vue", "Vue", 0, 0, 420, 0, 6, 26, 452
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\CreateView.vue", "Vue", 0, 0, 614, 0, -7, 43, 650
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\LoginView.vue", "Vue", 0, 0, 0, 0, 0, -3, -3
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\ManageView.vue", "Vue", 0, 0, 151, 0, 23, 29, 203
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\MenuView.vue", "Vue", 0, 0, -12, 0, 0, -3, -15
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\PreviewView.vue", "Vue", 0, 0, 690, 0, 45, 91, 826
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\RegisterView.vue", "Vue", 0, 0, -250, 0, -59, -41, -350
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\UserInfoView.vue", "Vue", 0, 0, 35, 0, 1, 7, 43
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\test.html", "HTML", 0, 0, 0, -75, 0, -6, -81
"Total", "-", -776, 22, 337, -75, -58, -49, -599
