"filename", "language", "Markdown", "JavaScript", "JSON", "JSON with Comments", "HTML", "Vue", "comment", "blank", "total"
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\README.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\db.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\jsconfig.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 12, 0, 20
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\package-lock.json", "JSON", 0, 0, 9684, 0, 0, 0, 0, 1, 9685
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\package.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 1, 33
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 1, 1, 18
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\App.vue", "Vue", 0, 0, 0, 0, 0, 347, 17, 59, 423
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\api\data.js", "JavaScript", 0, 65, 0, 0, 0, 0, 8, 11, 84
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\api\index.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\api\parallax.js", "JavaScript", 0, 441, 0, 0, 0, 0, 44, 66, 551
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\api\questionnaire.js", "JavaScript", 0, 61, 0, 0, 0, 0, 7, 7, 75
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\api\userinfo.js", "JavaScript", 0, 105, 0, 0, 0, 0, 14, 18, 137
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\AnswerTitle.vue", "Vue", 0, 0, 0, 0, 0, 50, 1, 10, 61
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\AsideMenu.vue", "Vue", 0, 0, 0, 0, 0, 287, 41, 43, 371
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\HelloWorld.vue", "Vue", 0, 0, 0, 0, 0, 56, 1, 3, 60
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\LoginAndRegister.vue", "Vue", 0, 0, 0, 0, 0, 420, 14, 82, 516
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\Newhome.vue", "Vue", 0, 0, 0, 0, 0, 44, 2, 15, 61
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\QuestionnaireBox.vue", "Vue", 0, 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\SingleSelect.vue", "Vue", 0, 0, 0, 0, 0, 173, 1, 28, 202
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\UserInfo.vue", "Vue", 0, 0, 0, 0, 0, 225, 9, 48, 282
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\main.js", "JavaScript", 0, 18, 0, 0, 0, 0, 2, 9, 29
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\router\index.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 10, 91
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\store\index.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 6, 30
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\utils\request.js", "JavaScript", 0, 24, 0, 0, 0, 0, 5, 6, 35
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\AboutView.vue", "Vue", 0, 0, 0, 0, 0, 139, 16, 28, 183
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\AnalyzeView.vue", "Vue", 0, 0, 0, 0, 0, 612, 73, 115, 800
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\AnswerView.vue", "Vue", 0, 0, 0, 0, 0, 784, 45, 104, 933
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\CreateView.vue", "Vue", 0, 0, 0, 0, 0, 1266, 95, 169, 1530
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\HomeView.vue", "Vue", 0, 0, 0, 0, 0, 27, 123, 15, 165
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\LoginView.vue", "Vue", 0, 0, 0, 0, 0, 209, 58, 47, 314
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\ManageView.vue", "Vue", 0, 0, 0, 0, 0, 1193, 74, 218, 1485
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\PreviewView.vue", "Vue", 0, 0, 0, 0, 0, 690, 45, 91, 826
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\UserInfoView.vue", "Vue", 0, 0, 0, 0, 0, 563, 49, 106, 718
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\vue.config.js", "JavaScript", 0, 4, 0, 0, 0, 0, 7, 2, 13
"Total", "-", 15, 836, 9728, 8, 16, 7098, 764, 1329, 19794
